Paris,48.86000061035156,2.3399999141693115,16483
Nice,43.70000076293945,7.269999980926514,538
Toulouse,43.619998931884766,1.4500000476837158,373
Marseille,43.310001373291016,5.369999885559082,286
Lyon,45.7599983215332,4.829999923706055,236
Bordeaux,44.84000015258789,-0.5799999833106995,225
Aix-en-Provence,43.529998779296875,5.440000057220459,215
Lille,50.63999938964844,3.069999933242798,202
Courbevoie,48.900001525878906,2.25,197
Abbeville,50.119998931884766,1.8300000429153442,192
Grenoble,45.189998626708984,5.71999979019165,141
Montpellier,43.61000061035156,3.869999885559082,99
Nantes,47.22999954223633,-1.5700000524520874,81
Antibes,43.599998474121094,7.119999885559082,78
Annecy,45.90999984741211,6.119999885559082,71
Rennes,48.11000061035156,-1.6799999475479126,65
Versailles,48.810001373291016,2.140000104904175,59
Nancy,48.689998626708984,6.170000076293945,49
Clermont-Ferrand,45.779998779296875,3.0799999237060547,47
Rouen,49.439998626708984,1.0800000429153442,47
Metz,49.119998931884766,6.179999828338623,42
Fontainebleau,48.41999816894531,2.700000047683716,40
Boulogne-Billancourt,48.83000183105469,2.240000009536743,40
Reims,49.25,4.03000020980835,39
Nimes,43.84000015258789,4.349999904632568,35
Avignon,43.959999084472656,4.809999942779541,34
Orléans,47.900001525878906,1.899999976158142,33
Perpignan,42.70000076293945,2.890000104904175,32
Tours,47.380001068115234,0.6899999976158142,31
Dijon,47.33000183105469,5.03000020980835,30
Issy-les-Moulineaux,48.83000183105469,2.259999990463257,30
Angoulême,45.65999984741211,0.15000000596046448,30
Angers,47.47999954223633,-0.5400000214576721,29
Limoges,45.83000183105469,1.25,28
Saint-Germain-en-Laye,48.900001525878906,2.0999999046325684,27
Brest,48.38999938964844,-4.5,26
Cergy,49.040000915527344,2.069999933242798,25
Schiltigheim,48.599998474121094,7.739999771118164,25
Mulhouse,47.7599983215332,7.340000152587891,23
Annemasse,46.20000076293945,6.21999979019165,22
Caen,49.189998626708984,-0.36000001430511475,22
Neuilly-sur-Seine,48.88999938964844,2.2699999809265137,22
Amiens,49.900001525878906,2.299999952316284,21
Poitiers,46.58000183105469,0.3400000035762787,21
Levallois-Perret,48.900001525878906,2.2899999618530273,21
Saint-Étienne,45.43000030517578,4.389999866485596,20
Quimper,47.9900016784668,-4.110000133514404,20
Créteil,48.790000915527344,2.450000047683716,19
Colmar,48.08000183105469,7.360000133514404,18
Rueil-Malmaison,48.88999938964844,2.1700000762939453,17
Le Havre,49.5,0.11999999731779099,16
La Rochelle,46.16999816894531,-1.1799999475479126,16
Belfort,47.650001525878906,6.849999904632568,16
Vincennes,48.849998474121094,2.440000057220459,16
Montreuil,48.86000061035156,2.430000066757202,15
Valbonne,43.63999938964844,6.989999771118164,15
Asnières-sur-Seine,48.90999984741211,2.2899999618530273,15
Vannes,47.65999984741211,-2.759999990463257,15
Antony,48.7599983215332,2.299999952316284,14
Chambéry,45.58000183105469,5.909999847412109,14
Suresnes,48.869998931884766,2.2200000286102295,14
Le Mans,48,0.20000000298023224,13
Orsay,48.70000076293945,2.180000066757202,13
Béziers,43.349998474121094,3.2100000381469727,13
Maisons-Laffitte,48.95000076293945,2.140000104904175,13
Grasse,43.66999816894531,6.920000076293945,13
Frontignan,43.459999084472656,3.740000009536743,13
Massy,48.720001220703125,2.2699999809265137,13
Thonon-les-Bains,46.380001068115234,6.460000038146973,12
Besançon,47.2400016784668,6.019999980926514,12
Nanterre,48.900001525878906,2.200000047683716,12
Pau,43.29999923706055,-0.38999998569488525,12
Carcassonne,43.220001220703125,2.3399999141693115,12
Toulon,43.130001068115234,5.920000076293945,11
Argenteuil,48.939998626708984,2.240000009536743,11
Hyères,43.130001068115234,6.119999885559082,11
Clichy,48.90999984741211,2.299999952316284,11
Manosque,43.84000015258789,5.769999980926514,11
Mougins,43.61000061035156,6.980000019073486,10
Colombes,48.93000030517578,2.25,10
Troyes,48.29999923706055,4.079999923706055,10
Meudon,48.81999969482422,2.240000009536743,10
Puteaux,48.880001068115234,2.2300000190734863,10
Melun,48.540000915527344,2.6500000953674316,10
Saint-Cloud,48.84000015258789,2.190000057220459,9
Saint-Maur-des-Fossés,48.79999923706055,2.490000009536743,9
Lorient,47.7400016784668,-3.369999885559082,9
Noisy-le-Grand,48.849998474121094,2.549999952316284,9
Narbonne,43.189998626708984,2.9000000953674316,9
Cagnes-sur-Mer,43.68000030517578,7.130000114440918,9
Douai,50.369998931884766,3.0799999237060547,9
Thionville,49.36000061035156,6.150000095367432,9
Gex,46.33000183105469,6.059999942779541,9
Les Pavillons-sous-Bois,48.90999984741211,2.4800000190734863,9
Agen,44.20000076293945,0.6200000047683716,9
Palaiseau,48.72999954223633,2.25,8
Morlaix,48.58000183105469,-3.8399999141693115,8
Chantilly,49.189998626708984,2.4600000381469727,8
Rambouillet,48.650001525878906,1.8200000524520874,8
Niort,46.31999969482422,-0.4699999988079071,8
Pontivy,48.060001373291016,-2.9800000190734863,8
Auch,43.650001525878906,0.5799999833106995,8
Blois,47.59000015258789,1.3200000524520874,8
Chalon-sur-Saone,46.790000915527344,4.840000152587891,8
Ajaccio,41.93000030517578,8.729999542236328,8
Saint-Brieuc,48.52000045776367,-2.7699999809265137,8
Compiègne,49.40999984741211,2.819999933242798,8
Salon-de-Provence,43.65999984741211,5.079999923706055,8
Talence,44.81999969482422,-0.5699999928474426,8
Biarritz,43.47999954223633,-1.5499999523162842,8
Houilles,48.91999816894531,2.180000066757202,7
Castelnaudary,43.31999969482422,1.9500000476837158,7
Nogent-sur-Marne,48.84000015258789,2.4700000286102295,7
