Yamato;35, rue Sergent Michel Berthet 69009 Lyon;8,5;45.7715443;4.8055657
Le Pailleron;9, rue Pailleron 69004 Lyon;9,1;45.7795827;4.833162499999999
Momento Sapori e Vini;4, rue de Fleurieu 69002 Lyon;9,1;45.7531328;4.832190700000001
Flair...Gourmandise & Connivence;84, rue de la Charité 69002 Lyon;9,2;45.7494683;4.829574700000001
Le Comptoir d'Ainay;41, rue Auguste Comte 69002 Lyon;8,8;45.7526614;4.8300852
Edo;9 Rue Sainte-Catherine, lyon 69001 Lyon;8,2;45.7682888;4.832972
Matsuri Lyon Part-Dieu;109, cours lafayette 69006 Lyon;8,5;45.7637741;4.8509362
Lal Qila	;"4, place Saint-Paul			
 69005 Lyon";8,7;45.7655059;4.827734
La Maïoun;15 Rue de Bonald 69007 Lyon;9,3;45.7531572;4.840685199999999
Burger & Wine;14, quai Antoine Riboud 69002 Lyon;8,3;45.742282;4.817979999999999
Le Plato;1, rue Villeneuve 69004 Lyon;8,9;45.7747796;4.8285124
Restaurant Vatel Lyon;8 Rue Duhamel 69002 Lyon;9,2;45.75004;4.829197499999999
Le Café Français;3, place Anthonin Poncet 69002 Lyon;8,4;45.7566695;4.8343529
Happy Times;3, Rue Verdi 69001 Lyon;8,1;45.766996;4.8366469
Le Frenchie's;100 Rue Duguesclin 69006 Lyon;9,1;45.7687086;4.8471649
ÉMÉSE;28 Rue Notre Dame 69006 Lyon;8,9;45.7646041;4.867613500000001
L'Esprit Bistrot Vaise;53, rue Saint-Pierre de Vaise 69009 Lyon;8,4;45.77147979999999;4.8037883
La Cocagne;7, rue Aimé Collomb 69003 Lyon;8;45.7571884;4.841423
La Maison Marie;5, rue Tupin 69002 Lyon;9,1;45.7629143;4.8330777
Chee Is Thai;23, rue du Bas d'Argent 69001 Lyon;8,8;45.766287;4.8371143
Brasserie Élite;20, place Carnot 69002 Lyon;8,2;45.750781;4.8260843
L'Opéra-bouffe;2 bis rue Giuseppe Verdi 69001 Lyon;8,9;45.76701629999999;4.836561300000001
La Table de Suzanne;22, rue des Remparts d'Ainay 69002 Lyon;8,8;45.7527838;4.8302283
